               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.082952,            0.056631,                   0,             0.71278,             0.46458,             0.55026,             0.30645,            0.074375,            0.044928,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.083059,            0.057201,                   0,             0.71426,             0.46198,             0.54935,             0.30627,            0.074293,            0.045031,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.083131,            0.056187,                   0,             0.70398,             0.46639,             0.54916,             0.30599,            0.074354,            0.044973,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.08287,            0.056667,                   0,             0.71463,             0.46548,             0.55223,             0.30687,            0.074275,            0.044948,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.082931,            0.056558,                   0,             0.71771,             0.46559,             0.55167,             0.30704,            0.074191,            0.044845,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.082936,            0.056107,                   0,              0.7101,             0.46468,             0.55378,             0.30851,            0.074122,            0.044966,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.082864,            0.056102,                   0,             0.70059,             0.47142,             0.55288,             0.31022,            0.074004,            0.044848,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.082731,            0.056744,                   0,             0.70625,              0.4709,              0.5528,             0.30965,            0.073967,            0.044754,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.082518,            0.056821,                   0,             0.72113,             0.46502,             0.55421,             0.31142,            0.073896,            0.044721,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.082895,            0.056675,                   0,             0.71185,             0.47097,             0.55507,             0.31206,            0.073897,            0.044685,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.082239,            0.055996,                   0,             0.72324,             0.46733,             0.55582,             0.31254,            0.073844,            0.044622,                   0,            0.000496,            0.000496,            0.000496
